,loss,mean_squared_error
79,-0.004184905,32.4838056371
80,-0.0041869974,32.4789763059
81,-0.0041891633,32.4817826787
82,-0.0041896805,32.4821155042
83,-0.0041912099,32.4870204864
84,-0.0041908828,32.4930698317
85,-0.0041930587,32.4895163836
86,-0.0041924615,32.488804241
87,-0.0041906247,32.489339202
88,-0.0041930999,32.4826711503
89,-0.0042012005,32.4816320468
90,-0.0041945706,32.4967112617
91,-0.0041937186,32.4799430749
92,-0.0041955041,32.4877310514
93,-0.0041969058,32.4884671805
94,-0.0042027509,32.4915466725
95,-0.0042003217,32.4906408574
96,-0.004203898,32.4952440849
97,-0.0042018945,32.5137480521
98,-0.0042011423,32.5095321236
99,-0.0042032402,32.5098425429
100,-0.0042127593,32.509090185
101,-0.0042143065,32.5141775131
102,-0.0042137965,32.5194569961
103,-0.0042175981,32.4997782751
104,-0.0042166653,32.4984777717
105,-0.0042096092,32.4968197042
106,-0.0042125178,32.509539587
107,-0.0042126339,32.492492533
108,-0.0042154661,32.4872498406
109,-0.0042143973,32.505598834
110,-0.0042149295,32.5083973972
111,-0.0042184057,32.506890017
112,-0.0042187109,32.5053280317
113,-0.0042196266,32.5152325486
114,-0.0042195039,32.5101179435
115,-0.0042219696,32.509176331
116,-0.0042202313,32.5071650233
117,-0.0042212147,32.5067771798
118,-0.0039518902,32.5259960064
119,-0.0039589768,32.5231750509
120,-0.0042241455,32.5295003136
121,-0.0042258362,32.5406755162
122,-0.0042262844,32.5386333052
123,-0.0042267291,32.5343519373
124,-0.0042305117,32.5430232022
125,-0.0042287263,32.5420741981
126,-0.0042318841,32.5422288714
127,-0.0042269857,32.5413686774
128,-0.0042289841,32.514155897
129,-0.0042288508,32.5161093304
130,-0.0042312241,32.5155753873
131,-0.0042335468,32.5443674073
132,-0.0042305353,32.5510397285
133,-0.0042324345,32.5513889726
134,-0.0042365217,32.5518788699
135,-0.0042434308,32.5302166333
136,-0.004242134,32.5513829733
137,-0.004244356,32.5534504754
138,-0.0042484254,32.5354413135
139,-0.0042473933,32.5306208881
140,-0.0042486103,32.537406764
141,-0.004248673,32.5421330275
147,-0.0042444715,32.5586727844
148,-0.0042481433,32.5634207107
149,-0.0042431113,32.5594867027
150,-0.0042443353,32.5614331342
151,-0.0042438822,32.5571287147
152,-0.0042452227,32.5613240023
153,-0.004254098,32.5611862414
154,-0.0042478723,32.5336809492
155,-0.004248424,32.5396206136
158,-0.0042544972,32.5375737302
159,-0.0042490166,32.544883837
160,-0.0042495077,32.5692966729
161,-0.0042483408,32.5669596332
162,-0.0042474356,32.5674880832
163,-0.0042505028,32.566489208
164,-0.0042529514,32.5657787282
165,-0.0042525248,32.5660499769
166,-0.0042526196,32.5647284701
167,-0.0042527095,32.5701037642
168,-0.0042536832,32.5709689988
169,-0.0042559178,32.5706828134
170,-0.0042581204,32.5760896544
171,-0.0042642885,32.5714658973
172,-0.0042579891,32.5753876633
173,-0.0042581754,32.5861323083
174,-0.0042573226,32.5752804405
175,-0.0042587405,32.5727263394
176,-0.0042587459,32.569424241
177,-0.004257569,32.5473725314
