label,0,1,2,3,4,5,6,7,8,9,rank_percentage
Journalism Trainer,Senior P&R SW Engineer,Field Facilitator,European Team Leader for Health Care Reform Project,Sales Senior Specialist Corporate Sales Development Service,Operation & MainA_PHONENUMBERance Manager (O&M Manager),Financial Risk Manager,"Senior Technical Marketing Engineer, Design to Silicon Division",Accountant,Office Manager,Head of Sales Department,0.5385547883834924
Deputy Program Director,Web Developer,Public Relations Responsible,Web Designer,System Architectural Designer,Android Developer,Legal Adviser Compliance Representative,Chief Accountant,Chief Financial Officer,QA Engineer,Promotion Manager,0.49454487956569865
Student Forum: Student Conference and Debate Forum (April A_PHONENUMBER,AutoCAD Designer,Accountant,Medical Representative,Internet Assessor,"Deputy Chief of State Service of Food Safety, SNCOs and",Tourism Specialist,Business Analyst,Food Security Specialist,Sales and Marketing Manager,Learning Coach,0.45290676224107945
Reporting Diversity Workshop for Journalists,Contract Management Technician,Project Manager,Hydro Biologist Specialist of Macro invertebrates,Administrative Permits and Negotiation Specialist,Technical Support Operator,Logistic Manager,Post Financial Service Officer,QA (Quality Assurance) Engineer,Financial Specialist,Sales Manager Preseller,0.043904495862541505
Reporting Diversity Workshop for Journalists,Branch Manager,Finance Manager,Chief Engineer,Chief Accountant,Java Developer,Accounting and Control Officer,PHP Developer,Advocacy Specialist,Web Developer,Credit and Debt Manager,0.335951088388763
Chief Accountant,Senior Manager of Support Services,Assistant to Chief Accountant,Senior Developer Team Leader,Software Test Engineer,Import Manager,Chemical Engineer,Monitoring Project Officer,Corporate Affairs Trainee,Counsel,Medical Representative,0.5259579402308544
Consultant (short term),System Administrator,Family Physician General Practiti1r in the 5 year Mobile,Non Cash Operations Department Specialist,ASP.Net C# C++ Software Developer,Brand Manager,Chief Accountant,Financial Specialist,Chief Specialist on Operational Risk Analysis and Expertise,Import and Logistics Manager,Business Analyst,0.20371053602487746
"Guard, FSN 2; FP CC*",Designer,Technical Support Engineer,Electrical Engineer,Hi Tech Council Workshop on A Hands On Approach to Developing,Web Designer Developer,Rural Credit Specialist,Administrative Permits and Negotiation Specialist,Technical Support Operator,Senior Technical Support Engineer,iOS Developer,0.04611816792283772
Training Officer,Advocacy Specialist,Web Designer,Java Developer,Shop Manager,IT Reporting Team Leader,Manager (Traffic Account),Medical Representative,Expediter,Finance HR Director,Ne2rk Administrator,0.02350708902124071
"Chauffeur, FSN 3; FP BB*",Branch Manager,Finance Manager,Android Developer,Secretary on Disability Issues,Designer,Web Developer,Advocacy Specialist,Information Security Administrator (Ne2rk Security) CBA,UI Web Engineer,Senior Corporate Application Engineer (CAE),0.19590997733621462
Demographic Analysis Workshop,QA Engineer,Embedded Linux BSP Engineer,Online Marketing Developer,Contractor Intern,Native Near Native English Teacher,Corporate Banking Manager,Manager,European Team Leader for Health Care Reform Project,Software Test Engineer,Senior ETL Informatica Developer,0.04437885416117641
Programmer,Expediter,Finance HR Director,Ne2rk Administrator,Sales Manager,Translator Editor,"Escort; FP BB*, FSN 3","Leading Specialist, Financial Market Operations Department",System Architectural Designer,English Language Courses,Head of Cards Issuance and MainA_PHONENUMBERance Unit,0.30553945079850314
Tester,System Administrator,Architectural Designer,Tax Administration Expert,Medical Representative,QA Testing Engineer,Senior Database Engineer,"Deputy Chief of State Service of Food Safety, SNCOs and",Project Engineer,Staff Attorney,Key Account Supervisor,0.43835977441627577
Receptionist,Senior Auditor,Senior Java Tester,System Administrator,QA Engineer,Museum Head Curator,Workshops Coordinator,Software Test Engineer,Chemical Engineer,Higher Education Financing Specialist,Accountant,0.8085700732620039
German Internships for Young Practicing Journalists from NIS,Web Engineer,"Economist, Economic Research Department",Project Assistant,Registration Coordinator in Stepanakert,Branch Manager,Finance Manager,Medical Representative,General Manager,Ne2rk Administrator,Non Cash Operations Department Specialist,0.6714805249565171
Volunteer Intern,Sales Manager Preseller,Senior Java Tester,Electrical Engineer,Credit Officer,Contractor Intern,Quantitative Developer Analyst,Web Developer Designer,System Administrator,Visual Merchandiser,Accountant,0.24176461287092182
Team Leader Chief of Party,Business Advisor Non Farm Rural Enterprises,Java Developer,Non Cash Operations Department Specialist,Senior Java Tester,Sales Director,Energy Specialist,Chain Store Manager,Credit and Debt Manager,Shop Manager,Procurement and Logistics Specialist,0.4945975860433247
Program Manager Children's Programs,Food Safety Regulatory Reform Consultant,Research and Development Engineer,Tester Quality Assurance Engineer,Internet Assessor,Accountant,Art Director Show Manager,"Lawyer, Administrative Legal and Litigation Practice Unit, LegalService",Graphic Designer,Java Developer,Entertainment & Sport Manager,0.30912349127707794
Receptionist,General Manager,Junior PHP Developer,Verification Engineer,Customer Service Agent,Product Manager,Marketing Assistant,Legal Adviser,Program Experts,Head Engineer Mechanic of food (canning) industry,Lawyer,0.48078848890528647
Chief of Party,Internet Assessor,IT Support Specialist,Food Safety Regulatory Reform Consultant,Monitoring Project Officer,Administrative Assistant Translator,Marketing Expert,Learning Coach,Senior Web Developer,Accountant,Non Cash Operations Department Specialist,0.1725610077478522
Quality Assurance Health Systems Management Advisor,Contractor Intern,Visual Merchandiser,Business Advisor Non Farm Rural Enterprises,Web Developer,Deputy CEO,Web Designer,Expediter,Finance HR Director,Ne2rk Administrator,Sales Manager,0.6041743530279872
Teacher of Information Technologies,Designer,Translator Interpreter (AVET3),Creative Manager,Junior Accountant,Communications Senior Project Coordinator Expert,Office Administrator,Accounting Finance Intern,Gegharkunik Marz Development Manager,Manager Quality Assurance Specialist,Technical Writer,0.07168080957149633
Cashier,Visual Merchandiser,Senior Java Tester,Deputy CEO,Museum Head Curator,Workshops Coordinator,Web Developer,"Leading Specialist, Financial Market Operations Department",Senior Circuit Design Engineer,Sales Manager Preseller,Procurement and Administrative Manager,0.8501027776313709
Medical Monitor,PHP Developer,Chief of Construction Supervision Division,Sous Chef,Senior Java Tester,Project Coordinator,Online Marketing Developer,Expert on Public Outreach,Corporate Affairs Trainee,State Investments Management Trainer,Real Estate Asset Management Division Head,0.4394666104464239
"Teleph1 Operator, FSN 4; FP AA*",Database Development Team Leader Fraud and Revenue Assurance,International M1y Transfer Specialist,Research and Development Engineer,Financial Specialist Accountant,Controller,Medical Representative in Nagorno Karabakh,Tester Quality Assurance Engineer,Sales Manager,Pharmacist Operator,Office Manager,0.7404733041690824
English as a Second Language TOEFL TWE TSE Instructors,Senior Database Developer,Sales Manager Preseller,Gegharkunik Marz Development Manager,Web Developer,Developer 2,IT Specialist,Babysitter,Auditor,Advocacy Specialist,Electrical Engineer,0.43582986349022296
Programs Manager,Creative Manager,Expediter,Finance HR Director,Ne2rk Administrator,Sales Manager,Translator Editor,Chief Accountant,QA Senior Software Test Developer,Senior Java Tester,Sales Director,0.30770041638117324
Proposal Writer,Senior C++ Engineer,Office Manager Secretary,AutoCAD Designer,Country Economist (NOB),Sales Consultant,PIU Interpreter Translator,Loan Specialist,Senior .Net Engineer,Chief Accountant,C C++ Software Engineer,0.8204817372055025
English Language Conversation Partners,Java Developer,Designer,Native Near Native English Teacher,Corporate Banking Manager,Accountant,Web Designer,Public Relations Responsible,Medical Representative,Chief Security Officer,Monitoring Project Officer,0.849628419332736
Accountant,Theatre Producer,Senior System Administrator,A_PHONENUMBER A_PHONENUMBER Global Undergraduate Exchange Program in Eurasia &,Head of Strategy and Program Development,Marketing and Sales Director,Advocacy Specialist,Pre Seller,Supplied Services Agent,Hydro Biologist Specialist of Macro invertebrates,Broadband Internet Consultant,0.6497127496969377
Trainers Consultants and Moderators Facilitators,Expediter,Finance HR Director,Ne2rk Administrator,Sales Manager,Translator Editor,Public Relations Responsible,Web Designer,"Leading Specialist, Financial Market Operations Department",Financial Analyst,QA Engineer,0.5629051810467507
Chief Supervisor of Programs Department,Quality Manager,Managing Director,HR Intern,Electrical Engineer,Accountant,Programme Coordinator,C# .NET Backend Developer,Renewable Energy Technical Expert,Banking Expert,Internal Audit Member,0.3372687503294155
Manufacturing Chief,Tax Administration Expert,Finance Officer,Import and Logistics Manager,Tourism Specialist,Head of HR,Accountant,Systems Manager,Brand Manager,Project Engineer,Medical Representative,0.8624887998735045
Driver,MainA_PHONENUMBERance Department Head,Receptionist,Chief HR Officer,Procurement Specialist,Student Loan Development Consultant,Press Secretary,Design Engineer,Multimedia Expert Team Leader,Transformational Development Facilitator,Admission to the Master of Agribusiness (MAB) Program for A_PHONENUMBER,0.8509460812733886
General Manager,Embedded Linux BSP Engineer,Programmer,Chemical Engineer,Medical Representative,Software Test Engineer,Insurance Specialist,Import Manager,Verification Engineer,Credit Officer,Financial Analyst,0.26622041848943234
Experts,System Administrator,Energy Specialist,Junior Expert at NA Standing Committee on Economic Affairs,Expediter,Finance HR Director,Ne2rk Administrator,Sales Manager,Translator Editor,Medical Representative,Monitoring and Evaluation Trainee,0.22047119590997732
"Online Business Associates (part time, work from home)",Secretary Referent,Country Economist (NOB),Sales Consultant,PIU Interpreter Translator,Loan Specialist,Graphic Designer,Java Developer,Native Near Native English Teacher,Corporate Banking Manager,State Investments Management Trainer,0.7344120592420809
Loan Promoter,Controller,Family Physician General Practiti1r in the 5 year Mobile,Head of Nushikyan Print,Sales Manager,Senior R&D Engineer 2,IT Support Specialist,Plastic Cards Technical Specialist,Research and Development Engineer,Tourism Manager,Journalist,0.15753966162441363
Country Director,Senior Java Tester,Junior Lawyer,Administrative Assistant,PHP Web Software Developer,Secretary Registry Clerk,Branch Accountant,Web Developer,Marketing Specialist,Operations Manager,Financial Specialist Agile Product Owner,0.26295261687661414
Regional Director,Secretary Registry Clerk,Junior Lawyer,PHP Developer,Chief Accountant,Ruby Software Engineer,GUI Developer,Software Test Engineer,PHP Developer,Chief of Construction Supervision Division,Sous Chef,0.905918937437411
Administrative Assistant Secretary,Sales Manager,Medical Representative,Gyumri Branch Manager,Junior Expert at NA Standing Committee on Economic Affairs,Flash Active Scripting Programmer,Head of Human Resources Management Division,Sales & Marketing Specialist,Accountant,Online Marketing Developer,Store Manager,0.34517472197333054
Program Expert,Expediter,Finance HR Director,Ne2rk Administrator,Sales Manager,Translator Editor,Senior Java Tester,AutoCAD Designer,Food Safety Regulatory Reform Consultant,"Leading Specialist, Financial Market Operations Department",Java Developer,0.10889158277552312
Project Coordinator,Monitoring Project Officer,Medical Representative,Non Cash Operations Department Specialist,"Contract Manager, Administrative and Logistics Service",Java Developer,Credit and Debt Manager,Ne2rk Administrator,Secretary on Disability Issues,Designer,Brand Manager,0.8489432351235967
Salesman Trade agent,Controller,Senior Manager of Support Services,Real Estate Asset Management Division Head,Video Clip Editor,Clinical Psychologist,Sales Manager,Shop Manager,Administrative Assistant Interpreter,Project Coordinator for Promoting Equal Rights and Equal,Senior Web Developer,0.7353607758393507
Administrative & Program Internships,Senior Developer Team Leader,Local Government Finance Technical Advisor,IT Support Specialist,Internet Assessor,Software Test Engineer,Trainer Consultant,PHP Web Software Developer,AutoCAD Designer,Assistant to Chief Accountant,Food Safety Regulatory Reform Consultant,0.37274020977178096
Admin Finance Clerk A_PHONENUMBER A_PHONENUMBER,Marketing Expert,C#.NET Developer,Administrative Assistant Translator,PHP Developer Intern,Monitoring and Evaluation Specialist,IT Specialist Manager,Graphic Designer,"ASP.NET, C# Software Developers",Public Relations Specialist,Administrative Assistant,0.6646286828651241
Software Developers,Shop Manager,IT Reporting Team Leader,"Senior Technical Marketing Engineer, Design to Silicon Division",Secretary on Disability Issues,Designer,Accountant,PHP Software Developer,Assistant to GM,Driver,Logistics and Import Manager,0.7778421968059874
Training and Institutional Capacity Building Specialist,Controller,Advocacy Specialist,Gegharkunik Marz Development Manager,Senior Auditor,"Escort; FP BB*, FSN 3",Logistics Department Manager,Accountant,Web Developer,Administrative and Logistics Assistant,Android Developer,0.9294260264586518
Community Education Campaign to Combat STIs HIV AIDS,PHP Web Software Developer,Food Safety Regulatory Reform Consultant,Programme Coordinator,Web Designer,Software Test Engineer,Museum Head Curator,Workshops Coordinator,Chemical Engineer,Graphic Designer,Medical Representative,0.47119590997733624
Director of Finance and Accounting,Senior C++ Engineer,Private Label Category Manager,PIU Interpreter Translator,Sales Engineer,Sales Director,Java Developer,Factory Manager,Administrative and Logistics Assistant,Expediter,Finance HR Director,0.17108522637432141
Accountant,Regional Merchandiser,Software Engineer,Junior Exploration Geologist,Leading Specialist Accountant of Financial and AdministrativeManagement Department,Senior Internal Auditor,Project Manager,CEO Assistant Receptionist,Translator,"Head of Procurement, Contracts and Logistics Unit",Assistant to Office Administrator,0.0066937226585147315
Project Coordinator,Electrical Engineer,Financial Specialist,.NET C# Developer,Learning Coach,C Software Developer,Family Medicine & Quality of Care Coordinator,Warehouse Operations Group Leader,System Analyst,Chief Accountant,EducationUSA Fair,0.6203025351815739
Graphic Designer,Sales Director,Senior Java Tester,Accountant,System Administrator,Designer,Program Manager,Air Tickets Seller,Inventory Specialist,PCB Design Engineer,Senior QA Engineer,0.7716228324461076
Administrative Assistant,Architectural Translator,PHP Developer,Chief of Construction Supervision Division,Sous Chef,Accountant,GUI Developer,Programmer,Medical Representative,Web Developer,Expert on Public Outreach,0.5231644969166711
Supply Officer,Shop Manager,Seller,Senior Software Developer C++ C#,Verification Engineer,Customer Service Agent,Accountant,Senior Auditor,External Evaluator for the Home Care Project,PHP Software Developer,Program Experts,0.8303905549992094
Teaching Grants,System Administrator,AutoCAD Designer,Contractor Intern,Senior Developer Team Leader,Energy Specialist,Business Analyst,Food Security Specialist,Sales and Marketing Manager,DSP Engineer,Medical Representative,0.13861803615664364
Assistant to Director Translator,Brand Manager,Sales Person,Marketing Specialist,Head of New Products Development Division,Head of IT Security Department,Sponsorship Coordinator,"General Education Specialist of the Subcomp1nt ""Supporting",Leading Specialist on Economic Security,Senior iOS Developer,QA Testing Engineer,0.6903494439466611
Managing Director,Designer,Business Advisor Non Farm Rural Enterprises,Expediter,Finance HR Director,Ne2rk Administrator,Sales Manager,Translator Editor,Java Developer,Public Relations Responsible,Driver,0.9411268644916461
Project Assistant,Web Developer,Medical Representative,Chemical Engineer,Database Administrator,Database Developer,Verification Engineer,Credit Officer,Software Test Engineer,Design Engineer,Embedded Linux BSP Engineer,0.4548569019132451
MMT Project Manager,Intern for UN Resident Coordinators (UNRC) Unit,Senior Objective C Developer,Database Administrator,Financial Specialist,National Analytical Chemist (NAC),Secretary Referent,Deputy Coordinator: Support to Twinning and TAIEX Operations in,National Grape Genetic Resources Conservation Specialist,Visual Basic Senior Software Developer,Chief Accountant,0.8993306277341485
Health Coordinators (2 positions are open),Corporate Affairs Trainee,Assistant to the Manager,Brand Manager,Import Manager,Embedded Linux BSP Engineer,Web Developer,Chemical Engineer,Museum Head Curator,Workshops Coordinator,Brand Manager,0.47920729457650346
Communication Assistant,Senior Auditor,Sales Director,Senior Java Tester,AutoCAD Designer,Creative Manager,Language Assistant for EU Twinning Project,Project Coordinator for Caring for Equality Project,Food Safety Regulatory Reform Consultant,Accountant,PHP Developer,0.6425973752174142
Consultant,Museum Head Curator,Workshops Coordinator,Project Program Assistant,Embedded Linux BSP Engineer,Web Designer,Customs Clearance Officer,Web Intern Contractor,Chemical Engineer,Senior Software Developer,Head of Customer Service Division,0.2803984609708533
Legal and Finance Assistant (part time),Leading Specialist Accountant of Financial and AdministrativeManagement Department,Secretary,Project Coordinator for Promoting Equal Rights and Equal,Java Developer,Regulatory and Institutional Framework Comp1nt Leader,"MAAC Forum ""Toward Greater Integrity in Higher Education""",PHP Developer,Chief of Construction Supervision Division,Sous Chef,Senior C++ Engineer,0.4482685922099826
Manager of Information Systems,General Manager,A_PHONENUMBER Junior Faculty Development Program,QA Testing Engineer,Tax Audit Specialist,IT Support Specialist,System Administrator,Web Engineer,Software Developer,IT Reporting System Administration Senior Specialist,Administrative Assistant Interpreter,0.9457123280451167
Program Specialist for Health Social Programs,Designer,Senior C++ Engineer,Senior Auditor,AutoCAD Designer,Tourism Manager,Android Developer,Finance Officer,Registration Coordinator in Stepanakert,Tourism Specialist,Clinical Psychologist,0.0061139514046276286
Driver (contractual basis),Expediter,Finance HR Director,Ne2rk Administrator,Sales Manager,Translator Editor,Senior Java Tester,AutoCAD Designer,Food Safety Regulatory Reform Consultant,"Leading Specialist, Financial Market Operations Department",Java Developer,0.49839245243240393
Project Assistant,Customer Care Manager,"Designer, Product Development Unit",Driver,Manager Assistant,Deputy Chief Supply Chain MainA_PHONENUMBERance Officer,Senior PHP Developer,Marketing Executive,Quality Engineer,Database Administrator,User Experience Specialist,0.3185579507721499
Software Developer,Fraud and Revenue Assurance Analyst Database Developer,SCM Engineer,Head of Nushikyan Print,"Leading Specialist, Financial Market Operations Department",Finance Manager,Senior Java Tester,Sales Manager,Senior Manager of Support Services,Chief Financial Officer,Sales Director,0.9438676013282032
Translator Interpreter (AVET3),Head of Internal Audit Department,Field Officer,Creative Director,Financial Specialist,Front End Developer,Software Developer,Senior Software Engineer Deep Submicron Department,Project Manager,HR Specialist,Monitoring Specialist,0.0011068360301481053
Office Secretary (AVET2),Project Assistant,"Economist, Economic Research Department",Factory Manager,Pre Seller,Supplied Services Agent,General Manager,Logistics Manager,Medical Representative,Project Support Officer,QA Testing Engineer,0.9406525061930111
Project Manager,PHP Developer,Information Manager,Medical Representative,Finance Officer,Graphic Designer,Java Developer,Educational Information Fair,Secretary,Lawyer,Project Coordinator for Promoting Equal Rights and Equal,0.8765614293996732
Office Manager (AVET1),Internet Assessor,Food Safety Regulatory Reform Consultant,Art Director Show Manager,"Lawyer, Administrative Legal and Litigation Practice Unit, LegalService",Team Lead: Workforce and Entrepreneurship Development,Cisco Specialist,Economist Tax Analyst,Designer,QA Intern Contractor,QA Testing Engineer,0.7787909134032572
English Translator Interpreter,Head of Credit Back Office,Marketing Superviser,Senior C++ Engineer,Secretary Registry Clerk,Trust Management Unit Senior Specialist,Medical Representative,Front Office Manager,Quality Support Specialist,Entertainment & Sport Manager,Executive Assistant,0.40246666315290147
Kurt Schork Awards in International Journalism,Assistant to Chief Accountant,Monitoring Project Officer,C++ Engineer,Corporate Affairs Trainee,Monitoring and Evaluation Specialist,IT Specialist Manager,Branch Accountant,Web Designer,Expediter,Finance HR Director,0.050387392610551834
Administrative Assistant,C C++ Software Developer,General French Language Teacher,Claims Assistant,Financial Administrative Manager,South Caucasus Design Monitoring and Evaluation (DME) Officer,Deputy Director,Senior Circuit Design Engineer,Sales Manager Preseller,International Fr8 Forwarding Manager,English Language Courses,0.41790966109734884
"Political Assistant, FSN 9; FP A_PHONENUMBER* (steps A_PHONENUMBER)",Recruitment Assistant,Program Support Coordinator,Head of Production,Teller,Graphic Designer,Logistic Analyst,Software Developer,Methodology Group Senior Specialist,Senior Java Spring Software Engineer,Driver (contractual basis),0.2624255521003531
Technical Project Manager,Expediter,Finance HR Director,Ne2rk Administrator,Sales Manager,Translator Editor,English Language Translator,C# and ASP.NET Software Engineer,Senior Technical Marketing Engineer,Legal Counsel,Designer,0.6872924682443472
AutoCAD Operator,Sales Manager,Billing and Credit Control Consultant,Designer,Factory Manager,Controller,Territorial Direction Customer Service and Sales Managers in,Operations Specialist,Medical Representative,Junior PHP Developer,Sales Manager,0.5648026142412903
Chemist Organic Polymer,Administrative Officer,Java Developer,Mobile Developer,General Manager,Java or C++ backend developer for Lycos Communities,Senior Technical Support Engineer,iOS Developer,"Annual Work Plan (AWP)Coordinator for ""Building Capacity for",English Language Courses,Business Decision Support Officer,0.5924735149949929
Language and Administrative Assistant,Head of Commercial Lending Department,"Project Coordinator, Strengthening of National Disaster",Database Administrator,Store Manager Director,Senior Auditor,Category Manager,Lawyer,Program Coordinator,Lawyer,Chief Accountant,0.24102672218415644
Annual Program Statement: Implementation and ExA_PHONENUMBERsion of,Native Near Native English Teacher,Corporate Banking Manager,Medical Representative,Food Safety Regulatory Reform Consultant,Internet Assessor,Learning Coach,Online Marketing Developer,Accountant,Product Manager,Medical Representative,0.7882780793759553
International Prize for R&D in Biomedicine and New Technologies,Program Support Coordinator,Head of Production,Head of Commercial Lending Department,"Project Coordinator, Strengthening of National Disaster",Packet Core Specialist,Controller,Executive Secretary,Assistant in Advertising Department,English Language Courses,Small and Medium Business Credit Officer,0.5603752701206979
Mobile Medical Team (MMT) Project Manager,MA in Journalism,Mid Level Software Developer,Receptionist Administrative Assistant,A_PHONENUMBER A_PHONENUMBER Global Undergraduate Exchange Program in Eurasia &,Technical Consultant,"Leading Specialist, Financial Market Operations Department",Creative Manager,Regulatory and Institutional Framework Comp1nt Leader,English Language Instructor,Volunteer Registration & Request Process,0.35018183734781005
Project Officer,QA Intern Contractor,Web Developer,Expediter,Finance HR Director,Ne2rk Administrator,Sales Manager,Translator Editor,Business Advisor Non Farm Rural Enterprises,Product Manager,Food Safety Regulatory Reform Consultant,0.6449164602329627
Intern,Public Relations Responsible,Monitoring Project Officer,Secretary on Disability Issues,Designer,Promotion Manager,Chief Financial Officer,Expediter,Finance HR Director,Ne2rk Administrator,Sales Manager,0.7441100511252833
Game Developer Specialist,Front Office Manager,Graphic Designer,PHP Developer,Chief of Construction Supervision Division,Sous Chef,Controller,Secretary,Marketing Superviser,Packet Core Specialist,Expert on Public Outreach,0.2957360459600485
Executive Director,"""Hilti"" Manager",Expediter,Finance HR Director,Ne2rk Administrator,Sales Manager,Translator Editor,English Language Translator,C# and ASP.NET Software Engineer,Senior Technical Marketing Engineer,Legal Counsel,0.36978864702471936
Corporate Director,Corporate Affairs Trainee,Online Marketing Developer,PHP Developer,Office Manager Secretary,AutoCAD Designer,Senior Java Backend Developer,Java Developer,Internet Assessor,Product Manager,Food Safety Regulatory Reform Consultant,0.2806092868813577
