label,0,1,2,3,4,5,6,7,8,9,rank_percentage
Driver Logistics Assistant,Analyst Financial System Stability and Development Department,Software Architect Team Lead,Finance Director,Salesman Trade agent,CEDC Social Worker in Special Institution,Call for papers,Staff Accountant,"Engineer, IT & CM Department",Financial Services Specialist,On line Consultations on Import and Export Related Customs,0.0849101354556475
Graphic Designer,Embedded Linux BSP Engineer,Sales and Service Specialist,IT Specialist,Internal Control and Audit Unit Manager,Marketing Executive,Java Developer,Fr8 Forwarding Coordinator,Banking Methodology Specialist,Web Developer,Senior Mediaplanning Specialist,0.9652664312443999
Administrative Assistant,Copywriter,Senior Program Associate HIV AIDS,Office Teleph1 Specialist,Food and Beverage Supervisor,System Administrator,HR Manager,Head of Financial Planning and Analysis,Head of Master's Program with National Research Nuclear,"Senior Chief Lawyer, Contracts Division",Site Manager of Ventilation Installation,0.3416433879723818
Lawyer,Manager Assistant,Junior Prfessional Associate,Support and Consulting Specialist,Quality Control Operator,HR Director,Assistant Brand Manager,C# .Net Developer,Head of Marketing Division,Marketing Manager,MSF Midwife,0.48416170347335685
Marketing Advisor,Chief Accountant,Chief Cook,Construction SuperinA_PHONENUMBERdent,Support System Administrator,Senior Software Engineer,Executive Director,Sponsorship Coordinator for Amasia Area Development Program,Senior Accountant,Shirak Airport Security Inspector,SCM Engineer (SW),0.3306804406261529
Chief Supervisor of Programs Department,Web Designer,Driver,Assistant to Director of Sales,Managing Editor,PHP Drupal Developer,Store Manager,Lessons Learned from Peacebuilding in Conflict Z1s,Purchasing Assistant,Product Manager,Base Station and Transportation System Engineer,0.47604490591893744
Journalism Trainer,English Language Courses,Senior Accountant,Translator,iOS Developer,Medical Officer,Analyst Financial System Stability and Development Department,Software Architect Team Lead,Promoter,Assistant in Accounting Department,Financial Assistant,0.11210667791071523
Deputy Program Director,QA (Quality Assurance) Engineer,Web Designer,Driver,Assistant to Director of Sales,Chief of Party,Quality Control Operator,Administrative Assistant,"Leading Specialist, Financial Market Operations Department",Airport Customer Service Agent,Regional Retail Executive,0.3609339587835345
Student Forum: Student Conference and Debate Forum (April A_PHONENUMBER,"Data Administrator 1 IT Division, Financial Monitoring Center","Senior Chief Lawyer, Contracts Division",Lawyer,Inspection Reform Expert,Shirak Airport Security Inspector,Project Manager,Accountant,QA Manager,Chief Accountant,Chief Cook,0.7532809782322247
Reporting Diversity Workshop for Journalists,Manager Assistant,Finance Director Chief Accountant,Engineer Sales Manager,Armenia Country Director,Economist Engineer,Medical Representative,Technical Writer,Credit Specialist in Administration of Underwriting of Consumer,Section Manager,SME Credit Officer,0.07389448163179255
Reporting Diversity Workshop for Journalists,Quality Control Operator,Support Engineer,Architect Designer,Chief Accountant,QA (Quality Assurance) Engineer,HR Director,Manager Assistant,Senior Specialist on Interaction with Internal Operators and,Senior Developer(s) Software Engineers,Financial Analyst,0.19638433563484953
Chief Accountant,Lawyer,Credit Officer,Web Developer,Project Manager,Accountant,Senior Financial Advisor,Senior Marketing Specialist,Chief Financial Officer,Senior Database Administrator,Technical Writer,0.024824750961893217
Consultant (short term),Fr8 Forwarding Coordinator,Embedded Linux BSP Engineer,Internal Control and Audit Unit Manager,Senior PHP Developer,Marketing Specialist,Sales Consultant,PHP Developer,Salesperson Consultant,Business Analyst,Public Awareness and Media Consultant,0.7794760976123966
"Guard, FSN 2; FP CC*",Teller Operator in Abovyan,Quality Control Operator,Mid level Software Developer,Assistant to the Regional Manager,Senior Software Engineer,Web Developer,Managerial Position,Senior Software Firmware Engineer,Regional Retail Executive,Medical Representative,0.06857112739155642
Training Officer,Senior Marketing Specialist,Chief Financial Officer,Lawyer,Credit Officer,Web Developer,Yearly Photojournalism Course,Merchandiser,Local Consultant for Rapid Assessment of Child Care Institutions,Manager of Digital Board Design and Layout,Human Resources Specialist,0.7705159964159595
"Chauffeur, FSN 3; FP BB*",Procurement Specialist,Lawyer,Branch Accountant,Driver,English Language Courses,Lecturer for Public Law,Doctor,Marketing Analyst,"High School Specialist Engineer of the Subcomp1nt ""Enrichmentof the Upper Secondary Schools""",Contractor Intern,0.5322827175459864
Demographic Analysis Workshop,Medical Officer,English Language Courses,Analyst Financial System Stability and Development Department,Software Architect Team Lead,Application Manager,Software Engineer,Scriptwriters,Administrative Assistant,Team Lead Web Application Development and Design,National Finance Officer,0.11869498761397776
Programmer,PR Officer,Java Senior Developer Architect,Mid Level Technical Writer,"Leading Specialist, Financial Market Operations Department",Lecturer for Public Law,Doctor,Head of Marketing and Sales Department,Junior Analog Design Engineer,Project Assistant for Developing the Protected Area System of,Salesperson Sales & Marketing Representative,0.21804669793917672
Tester,Inspection Reform Expert,Operations Manager,"Senior Chief Lawyer, Contracts Division","Data Administrator 1 IT Division, Financial Monitoring Center",Interior Designer,Marketing Specialist,Flash Developer,Territory Executive,.Net Developer,Managing Director,0.8180045327570759
Receptionist,Programmer,"Software Engineer, Database Department",Tax Administration Expert,Stock Keeper,POS (Point of Sales) Developer Agent,Strategic Planning and Business Development Officer,Mail Management Support Department Head,Manager,Local Governance Decentralization Expert,Administrative Assistant Interpreter,0.782322247404206
German Internships for Young Practicing Journalists from NIS,Banking Methodology Specialist,Web Developer,Senior Mediaplanning Specialist,Marketing and Sales Manager,Warehouse Manager,"Software Engineer, Layout Processing Department (YA)",Credit Specialist,Head of Sales Specialists Division,Project Coordinator,Senior SW Integration Engineer,0.43219311653402204
Volunteer Intern,IT Specialist (Implementation and Support of Large Scale,Regional Commercial Manager,Java Developer,Market Research Specialist,Programmer,Exams Assistant,Website Designer,Procurement Manager,Branch Accountant,Assistant to Chief Accountant,0.7598692879354872
Team Leader Chief of Party,Quality Control Operator,HR Director,QA (Quality Assurance) Engineer,Database Development Team Leader Fraud and Revenue Assurance,Support and Consulting Specialist,Teller Operator in Abovyan,Senior Designer Art Director,Translator Interpreter,Accountant,.NET Senior Software Developer,0.40230854372002317
Program Manager Children's Programs,Banking Methodology Specialist,Web Developer,Senior Mediaplanning Specialist,Marketing and Sales Manager,Warehouse Manager,"Software Engineer, Layout Processing Department (YA)",Credit Specialist,Head of Sales Specialists Division,Project Coordinator,Senior SW Integration Engineer,0.5709165656459179
Receptionist,Lawyer,Software Developer,Learning Coach,IT Specialist,Office Manager,Fraud Management Senior Analyst,Sales Support Specialist,Support and Consulting Specialist,Teller,Deputy Director for Medical Affairs,0.6980972961576978
Chief of Party,Product and Tour Manager,English Language Courses,Financial Consulting Associate,Procurement Specialist,Program Manager,Marketing Director,Seller,HR Administrative Manager,Software Engineer,Executive Assistant,0.41938544247087967
Quality Assurance Health Systems Management Advisor,Accountant,Java Developer,Finance Director,English Language Courses,Regulatory Affairs & Medical Manager,"Administrative Assistant, CP Program with Armenian Association of",Ne2rk Administrator,Property Valuation Chief Specialist,SEO Specialist,Web Design Trainer,0.09613661519000685
Teacher of Information Technologies,HR Director,Quality Control Operator,Manager Assistant,Technical Consultant,C C++ Software Developer,Native Near Native English Teacher,Sales and Import Manager for Kitchen Equipment,Senior Accountant,Store Manager,Assistant Brand Manager,0.35703367943920306
Cashier,Application Manager,Voter Registration Assistant,Accountant,English Language Courses,Multimedia Expert Team Leader,Transformational Development Facilitator,Admission to the Master of Agribusiness (MAB) Program for A_PHONENUMBER,Database Administrator,Store Manager Director,Senior Auditor,0.9882464554893796
Medical Monitor,Fr8 Forwarding Coordinator,Marketing Specialist Sales Manager,Doctor Dietitian,Logistics Coordinator for Pre Service Training,Monitoring Software Program Consultant,Marketing Specialist,Medical Representative in Armenia,Senior PHP Developer,Child Protection and Education Specialist,Senior Project Officer,0.18521056237811628
"Teleph1 Operator, FSN 4; FP AA*",Deputy Director for Operations,Volunteer Registration & Request Process,Construction Project Supervisor,"Local Expert on Public Administration, UN Convention Against",HR Specialist,Project Manager,German Language Translator,Marketing Assistant,Back End PHP Developer,Marketing Manager,0.38929004374637644
English as a Second Language TOEFL TWE TSE Instructors,Fr8 Forwarding Coordinator,Chief of Party,Medical Officer,English Language Courses,VAS Ne2rk Operations Engineer,Senior Accountant,Finance Assistant Intern,Administrative Secretary,Design Engineer,Embedded Linux BSP Engineer,0.8736098666526116
Programs Manager,Leading Specialist in Internatioonal Business Division,Planning and Analysis Division Specialist,Accountant,Project Coordinator,Fr8 Forwarding Coordinator,VAS Ne2rk Operations Engineer,Driver (contractual basis),Procurement Officer,Head of Development and Branch Management Unit,Licensed Chief Lawyer,0.7459547778421968
Proposal Writer,Tourism Adviser Customer Service Representative,Assistant to Director,Tourism Program Director,NIMA A Training Courses on Marketing for Specialists and Managers,Marketing Specialist,Digitization Specialist,C C++ Software Engineer,"Credit Officer, Group Lending Department",Software Development and Testing Senior Specialist,Warehouse Manager,0.47725715490433773
English Language Conversation Partners,Internal Control and Audit Unit Manager,Embedded Linux BSP Engineer,Verification Engineer,Credit Officer,Program Director,Translator Interpreter,Fr8 Forwarding Coordinator,Senior PHP Developer,Salesperson Consultant,Business Analyst,0.3503926632583145
Accountant,QA (Quality Assurance) Engineer,Project Manager,Quality Control Operator,Financial Specialist,Senior Java Developer,Residence Manager,Annual Work Plan Coordinator on Multisectoral responses to,Graphic Designer,Veterinary Assistant,Lawyer,0.4043640963474411
Trainers Consultants and Moderators Facilitators,Regulatory Affairs & Medical Manager,Application Manager,Voter Registration Assistant,Vardenis ADP Administrative Assistant,Web Designer,Teller,Software Engineer,English Language Courses,Finance Director,Receptionist Administrative Assistant,0.45559479260001057
Chief Supervisor of Programs Department,Quality Control Operator,Regional Retail Executive,Database Development Team Leader Fraud and Revenue Assurance,QA Engineer,Senior Designer Art Director,QA (Quality Assurance) Engineer,iPh1 Application Developer,Delphi Programmer,Local STTA,HR Director,0.23818057239234702
Manufacturing Chief,Finance Associate,Mid level Software Developer,Tax Administration Expert,Regional Retail Executive,IT Specialist,Hotel Manager,Salesperson Cashier,Assistant to Food and Beverage Director,Women Entrepreneurship Training*,Senior Software Engineer,0.7158066726400675
Driver,QA (Quality Assurance) Engineer,Translator Interpreter (AVET3),Medical Representative in Gyumri,HTML & CSS FronA_PHONENUMBERd Developer Freelancer,SQA Engineer,Personal Assistant,Environmental Manager,Business Diagnostics for Consulting,Zend PHP Developer,Gender Policy Programme Officer,0.5649080271965424
General Manager,English Language Courses,Accountant,Executive Assistant,Customer Relationship Analyst Associate,Application Manager,Regulatory Affairs & Medical Manager,Administrator of Transfer Systems & Computer Technics Supporter,Finance Director,Ne2rk Administrator,Senior PHP Developer,0.2749169872977389
Experts,Inventory and Commodity Analyst,MSF Midwife,Receptionist,Visualizers Team Leader,Manager,Junior Software Engineer GUI Architect,Lawyer,Secretary Administrative Assistant,QA Engineer Tester,Program Support Coordinator,0.09207821641279713
"Online Business Associates (part time, work from home)",Manager Assistant,Sales Manager,Administrator at Reception,Regional Commercial Manager,IT Specialist (Implementation and Support of Large Scale,Computer Aided Drafting (CAD) Technician,Messaging Collaboration Systems Engineer Administrator,Market Research Specialist,C# .Net Developer,Head of Marketing Division,0.9808148421440995
Loan Promoter,Manager of Digital Board Design and Layout,Human Resources Specialist,Consultant,Investment Officer of the Fund for Rural Development in Armenia,"Media Advocacy Officer, Alternative Resources in Media Project",Head of Large Business Division,Software Developer,Merchandiser,Marketing Teacher,Contractor Intern,0.6171928530016338
Country Director,Procurement Specialist,Designer,Lawyer,SQA Engineer,Call Center Consultant,Contractor Intern,Logistics Manager,Assistant Secretary to the Marketing Manager,Financial Specialist Agile Product Owner,Nursery Manager,0.7923891846307911
Regional Director,Manager Assistant,Corporate Telesales Specialist,Regional Representative,Watchman,Head of Marketing and PR Division,Promoter Salesperson,Java Web Developer,Consultant on Advocacy and Communication,C# .Net Developer,Head of Marketing Division,0.4604437885416118
Administrative Assistant Secretary,Assistant Project Officer Education NOB,Database Administrator,Senior Programme Assistant,Data Coordinator,Marketing Manager,Senior Software Engineer,Data Product Sales Officer,Head of Procurement Unit,Assistant to Chief Accountant,Operations Manager,0.36673167132240553
Program Expert,Fr8 Forwarding Coordinator,Procurement Specialist,English Language Courses,Chief of Party,Driver,Chief Accountant,IT Specialist,VAS Ne2rk Operations Engineer,Gender Policy Programme Officer,Regional Retail Executive,0.5818268065145207
Project Coordinator,Marketing Analyst,"High School Specialist Engineer of the Subcomp1nt ""Enrichmentof the Upper Secondary Schools""",Senior Programme Assistant,Procurement Specialist,English Language Courses,Product and Tour Manager,Administrator of Transfer Systems & Computer Technics Supporter,Fr8 Forwarding Coordinator,Executive Assistant,Customer Relationship Analyst Associate,0.10198703420650398
Salesman Trade agent,Developer,IT Manager,Senior Driver,R&D Engineer,Teller,Senior .Net Developer,Assistant Secretary to the Regional Manager,Transmission Engineer,Data Quality Analyst,Communication Advertising Specialist,0.3812786591472092
Administrative & Program Internships,Regional Retail Executive,Software Developer,Internal Auditor,Installation Supervisor,Fashion Buyer,Accounting and Tax Manager,Economist Tax Analyst,Administrative Assistant,Head of FInance Unit Finance Analyst,Inventory and Commodity Analyst,0.5358140515469351
Admin Finance Clerk A_PHONENUMBER A_PHONENUMBER,English Language Courses,Embedded Linux BSP Engineer,Finance Director,Specialist of Credit Deals Monitoring Unit,Reporting Diversity Workshop for Journalists,Contract Management Specialist,Designer,Public Relations Team Leader,Project Driver for Support to the Armenian National Assembly,Assistant to the Prime Minister of RA in the Sphere of Public,0.29030727876456014
Software Developers,Fr8 Forwarding Coordinator,"Software Engineer, Design to Silicon Division",Administrative Secretary,VAS Ne2rk Operations Engineer,Chief of Party,Sales Manager Preseller,Agronomist,Java Developer,C# .NET Senior Developer Team Leader,Inventory and Commodity Analyst,0.6897169662151479
Training and Institutional Capacity Building Specialist,Language and Cultural Facilitator (LCF) for Pre Service Training,Credit Officer in Charentsavan Branch,Branch Accountant,English Language Courses,Marketing Business Intelligence Coordinator,Medical Doctor,Embedded Linux BSP Engineer,General,Sales Representative,Senior Java Developer,0.11105254835819323
Community Education Campaign to Combat STIs HIV AIDS,Ne2rk Administrator,Administrative Assistant,Grants Manager,Computer and Information Science (CIS) Program Coordinator,Waiter Waitress,Finance HR Assistant,Ne2rk Administrator Information Technology Specialist,Direct Sales Specialist,QA Manager,Software Engineer User's Interface and Flows Department,0.05202129341696094
Director of Finance and Accounting,Human Resources and Administrative Manager,Quality Control Operator,Sport Journalist,Front Desk Clerk,Instructor of Bank Legislation,Senior .Net Engineer,Teller Operator in Abovyan,Java Junior Developer,Project Manager,QA (Quality Assurance) Engineer,0.6779107152269014
Accountant,Web Developer,Retail Finance Analyst,Senior Web Developer,Junior Software Developer,On Call Translator Interpreter,High value Agriculture Specialist,Data Product Sales Officer,Head of Marketing Department,Finance Director,Marketing (Agribusiness Development) Manager,0.35439835555789806
Project Coordinator,Internal Auditor,Site Supervisor,Chief Technology and Services Officer,Marketing and PR Specialist,Sales Manager in Food & Beverage Sector,Electrical Engineer,Financial Specialist,Web Developer,Retail Finance Analyst,Telesales Specialist,0.4842671164286091
Graphic Designer,Commercial Representative,Marketing Specialist,Senior PHP Developer,Java Developer,Doctor,Chief Engineer,Chief Accountant,Project Engineer,Software QA Engineer,"Software Engineer, Database Department",0.8475201602276919
Administrative Assistant,Fr8 Forwarding Coordinator,English Language Courses,Procurement Specialist,IT Specialist,Assistant in Accounting Department,Financial Assistant,PHP Web Developer,VAS Ne2rk Operations Engineer,Project Assistant for Developing the Protected Area System of,Chief of Party,0.41448374005165234
Supply Officer,Executive Director,Project Assistant,Arts Management International Autumn Courses,Recruitment Specialist,Chief Financial Officer,Assistant for FAO Technical Cooperation Project,Economic Justice Programme Officer,Audit Manager,Accountant,C++ Engineer,0.7192853001633901
Teaching Grants,"Senior Chief Lawyer, Contracts Division",Manager of Digital Board Design and Layout,Human Resources Specialist,Consultant,Investment Officer of the Fund for Rural Development in Armenia,"Media Advocacy Officer, Alternative Resources in Media Project",Head of Large Business Division,Software Developer,Merchandiser,Marketing Teacher,0.45770305170505454
Assistant to Director Translator,Manager of Digital Board Design and Layout,Human Resources Specialist,Consultant,Investment Officer of the Fund for Rural Development in Armenia,"Media Advocacy Officer, Alternative Resources in Media Project",Head of Large Business Division,Software Developer,Merchandiser,Marketing Teacher,Contractor Intern,0.7905971643915037
Managing Director,Application Manager,Project Assistant for Developing the Protected Area System of,Receptionist Administrative Assistant,Deputy Director,Office Administrator,System Administrator General Specialist,Marketing Manager,IT Administrator IT and Automation Division,Christian Commitments Officer,IT Administrator,0.09186739050229273
Project Assistant,Administrative Assistant,Grants Manager,Computer and Information Science (CIS) Program Coordinator,Waiter Waitress,Finance HR Assistant,Ne2rk Administrator Information Technology Specialist,Direct Sales Specialist,QA Manager,Software Engineer User's Interface and Flows Department,Import Manager,0.37484846887682494
MMT Project Manager,Ne2rk Administrator,Medical Representative,Merchandiser,Manager of Digital Board Design and Layout,Human Resources Specialist,Consultant,Investment Officer of the Fund for Rural Development in Armenia,"Media Advocacy Officer, Alternative Resources in Media Project",Head of Large Business Division,Software Developer,0.9301112106677911
Health Coordinators (2 positions are open),Teller Operator in Abovyan,Italian Language Teachers,Finance and Administration Director,Developer,Sales Manager,Lawyer,Micro Biologist,Hi Tech Council Workshop on A Hands On Approach to Developing,Executive Director,Head of Consultative Diagnostic Department,0.9165129394402572
Communication Assistant,ASP.Net C# C++ Software Developer,Quality Control Operator,Advertising Sales Agent,Database Development Team Leader Fraud and Revenue Assurance,"Merchants Acquiring Division Specialist, Card Center",HR Director,Assistant to Food and Beverage Director,Women Entrepreneurship Training*,Marketing Specialist,Project Assistant,0.7071101038317609
Consultant,IT Specialist,Product and Tour Manager,English Language Courses,Sales Representative,Trade Finance and Guarantee Department Specialist,Ne2rk Administrator,Business Intelligence Analyst,Java Developer,Senior Loan Officer in Ararat marz,WTM Credit Facility Assistant,0.31276023823327886
Legal and Finance Assistant (part time),Interior Designer,Ne2rk Administrator,Administrative Assistant,Grants Manager,Computer and Information Science (CIS) Program Coordinator,Waiter Waitress,Finance HR Assistant,Ne2rk Administrator Information Technology Specialist,Direct Sales Specialist,QA Manager,0.9267907025773467
Manager of Information Systems,Supplier,Check Administrator,R&D Manager,Persian Armenian Translator Interpreter,Climate Control Equipment Operation Engineer,Training on Tuberculosis for Mass Media Representatives,Verification Engineer,Internal Control and Audit Unit Manager,Web Designer,Teller,0.5680704158541084
Program Specialist for Health Social Programs,Head of Marketing and Sales Department,Promoter,Project Assistant,Assistant Secretary to the Marketing Manager,English Language Courses,Electrical Engineer,Merchandiser,Software Engineer,FronA_PHONENUMBERd Developer,Merchandiser,0.8547936541400938
Driver (contractual basis),Fr8 Forwarding Coordinator,Procurement Specialist,English Language Courses,Chief of Party,Driver,Chief Accountant,IT Specialist,VAS Ne2rk Operations Engineer,Gender Policy Programme Officer,Regional Retail Executive,0.03541875296473937
Project Assistant,Rural Credit Advisor,Marketing Business Intelligence Coordinator,Leasing Specialist,HR Specialist,Registration Coordinator,Territorial Direction Customer Service and Sales Managers in,Back Office Manager,Assistant to the Prime Minister of RA in the Sphere of Public,"Head of Fraud Prevention and Monitoring Unit, Card Operations",Research Director,0.1061508459389659
Software Developer,Inspection Reform Expert,Project Coordinator,Logistic Procurement Assistant,Administrative Assistant Interpreter,Android Developer,Volunteer Registration & Request Process,Construction Project Supervisor,"Local Expert on Public Administration, UN Convention Against",HR Specialist,Project Manager,0.7048964317714647
Translator Interpreter (AVET3),Ne2rk Administrator,Finance Director,Administrative Assistant,Grants Manager,Computer and Information Science (CIS) Program Coordinator,Waiter Waitress,Finance HR Assistant,Ne2rk Administrator Information Technology Specialist,Direct Sales Specialist,QA Manager,0.3536604648711327
Office Secretary (AVET2),Senior Web Developer,Operations Manager,Project Manager,Accountant,External Relations Specialist,Lawyer,Credit Officer,Web Developer,EducationUSA Fair,Regional Masters Programme in Human Rights and Democratization,0.18015074052601066
Project Manager,Regional Retail Executive,Software Developer,Quality Control Operator,Hotel Manager,Economist Tax Analyst,Installation Supervisor,Head of FInance Unit Finance Analyst,Database Development Team Leader Fraud and Revenue Assurance,Tax Administration Expert,"Deputy Chief of State Service of Food Safety, SNCOs and",0.4696147156485532
Office Manager (AVET1),Senior Designer Art Director,Quality Control Operator,HR Director,Support and Consulting Specialist,Sales Consultant,Human Resources and Administrative Manager,Database Development Team Leader Fraud and Revenue Assurance,"Head of Banking System Development Research, Banking Methodology",Translator Interpreter,ASP.NET Senior Web Developer,0.9122437147525431
English Translator Interpreter,Transport Department Operator,Senior Software Engineers Java,Developer,Sales Manager,Sales Trainer,Pension Policy Expert,IT Manager Assistant,Fr8 Forwarding Coordinator,R&D Engineer,Assistant Secretary to the Regional Manager,0.26743266747483263
Kurt Schork Awards in International Journalism,Ground Handling MainA_PHONENUMBERance Manager,Product and Tour Manager,Ne2rk Administrator,Assistant Translator Interpreter,Interior Designer,Administrative Assistant,Grants Manager,Computer and Information Science (CIS) Program Coordinator,Waiter Waitress,Finance HR Assistant,0.8616454962314869
Administrative Assistant,Fr8 Forwarding Coordinator,Chief of Party,Software Developer,Head of Construction Control Department,Laboratory Technician,IT Specialist,Individual Credit Officer,Accountant,Senior Testing Engineer Senior Automated Testing Engineer,"Leading Specialist, Legal Department",0.5717071628103094
"Political Assistant, FSN 9; FP A_PHONENUMBER* (steps A_PHONENUMBER)",Branch Accountant,Assistant to Chief Accountant,Engineer Project Manager,Human Resources Department Manager,Business Consultant,Marketing Business Intelligence Coordinator,Support Specialist,English Language Courses,Native Near Native English Teacher,Senior Software Engineer,0.1471037790544458
Technical Project Manager,Assistant Translator Interpreter,Ne2rk Administrator,Sales Consultant,Chief Accountant,Flash AS3 Developer,Mobile Device Software Engineer,"CAD Engineer, II SG",Credit Officers,Head of Operations & Benefits Group Human Resources Management,HR Manager,0.04659252622147262
AutoCAD Operator,Chief Accountant,Sales Manager,QA Lead Test Engineer,Quality Control Operator,Office Manager,Chemist Technologist,Chief Financial Officer,Senior Software QA Engineer in Gyumri,Journalism MA Course,Environmental Education Program Manager,0.46555631687134347
Chemist Organic Polymer,Web Designer,Driver,Assistant to Director of Sales,Junior Prfessional Associate,Salesperson Sales & Marketing Representative,International Commercial Lawyer,Marketing Business Intelligence Coordinator,Manager Assistant,C# .Net Developer,Head of Marketing Division,0.8872608443577715
Language and Administrative Assistant,Interior Designer,Project Manager,Accountant,"Senior Chief Lawyer, Contracts Division",Administrative Assistant,Grants Manager,Computer and Information Science (CIS) Program Coordinator,Waiter Waitress,Finance HR Assistant,Ne2rk Administrator Information Technology Specialist,0.9834501660254045
Annual Program Statement: Implementation and ExA_PHONENUMBERsion of,Sales Consultant,Chief Accountant,Project Engineer,Software QA Engineer,Furniture Salesperson,Monitoring Chief Specialist,Senior Specialist of Remuneration and Social Programs Unit of HR,Marketing Specialist,Micro Biologist,Teller Operator in Abovyan,0.6278922679597323
International Prize for R&D in Biomedicine and New Technologies,Chemist of Chemical Scientific Research Laboratory,Financial Controller,Accountant,Arabic Language Translator Interpreter,Photojournalism Course,Shop Cashier in Vanadzor,Credit Officer,Quality Supervisor,Chief Financial Officer,Lessons Learned from Peacebuilding in Conflict Z1s,0.45369735940547096
