label,rank,0,1,2,3,4,5,6,7,8,9
monitoring evaluation specialist,0.0033026247,finance officer/ cashier,senior engineer,chief accountant,executive director,sales/ medical representative,factoring officer corporate finance department,project engineer,asp.net developer,field engineer,occupational safety health expert
credit controller,0.0034185063,system architect,systems manager,receptionist/ admin assistant,senior web developer,brand manager,.net developer,event/ btl manager assistant,driver,annual work plan coordinator multisectoral responses,1c programmer
counsel,0.003766151,ad developer id no 1,technical recruiter,health safety manager,lawyer,head advertising department,credit officer,economic development specialist,language assistant/ translator rta,software engineer,vice-president mergers acquisitions unit
graphic/ web designer,0.0040558549,lawyer,head personnel training division,head mechanics,production operator,legal counsel,field coordinator tass test,development director,android developer,assistant director,procurement manager
qa intern/ contractor validation department,0.0042876181,project manager,region managers,receptionist/ administrative assistant,marketing manager,pharmacist,research development engineer layout design,medical representative,software developer,outreach advocacy specialist,financial manager
press officer,0.0049829075,tourism manager,administrative assistant,radio electronic engineer,software quality assurance engineer,security service specialist financial economic security,senior c++ developer,financial services specialist,technical writer/ patent attorney,loan officer,memory design senior manager
application manager,0.0052146706,interviewer statistics department,medical advisor,executive director credit organization,furniture designer,armavir branch agro lending specialist,qa engineer,php developer,head office/ program coordinator,credit officer /individual business crediting/,social worker disability resource center spitak
senior java developer,0.0061996639,corporate sales manager,head internal control,lawyer,chief accountant,junior analog design engineer,receptionist/ administrative assistant,assistant director translator/ interpreter,php programmer,human resources organizational development manager,senior software developer
marketing business development manager,0.0062576047,java developer,php developer,mobile access networks planning optimization engineer,security clerk,telecommunications engineer,programme assistant,radio network planning engineer,medical representative,chief party,driver
finance resources coordinator,0.0066052494,monitoring evaluation trainee,director restaurant complex,marketing specialist,ui web developer,researcher survey irregular migration,software qa engineer,office administrator,java software developer,qa automation engineer,sales manager
learning coach dilijan,0.0066052494,chemist/ analyst,system architect,receptionist/ admin assistant,annual work plan coordinator multisectoral responses,1c programmer,senior php backend engineer,head hr unit,.net developer,unix systems administrator,director
.net windows mobile developer,0.0068370126,english language instructor,operator/ cashier,architect,national program assistant/ politico-military activities,accountant,lawyer,sector manager,chief/ supervisor programs department,family physician/general practitioner 5-year mobile,store director trainee gyumri
mobile applications software engineer,0.0070108349,telecommunications engineer,php developer,senior financial analyst,public relations pr specialist,accountant,financial control payments clerk,junior lawyer,senior credit officer,sociologist,project coordinator
head financial market analysis short-term programming,0.0072425981,fundraising coordinator,chief specialist division bank operations monitoring,senior program manager,project manager,senior programme associate,driver,brand manager,vb 6.0 developer,data collection management reporting advisor,chief accountant
leadership development project manager/ facilitator,0.0073584796,administrative assistant,branch manager,seller,senior r d engineer,java developer,english language instructor,operator/ cashier,medical representative armenia,financial/ hr officer,technical manager
accountant,0.0086331769,programme assistant,program budgeting trainer,executive director,sales promotion banking guarantees division specialist,chief financial officer,administrative assistant,junior test engineer,windows device drivers senior engineer,advanced .net developer,store manager
receptionist/ administrative assistant,0.0088069992,deputy chief accountant,financial analyst,head human resources department,event/ btl manager assistant,senior project manager,system architect,promotion manager,qa manager,software engineer,accountant
translator,0.0089228808,chief financial officer,lawyer,flash/ as3 developer,sociologist,regional retail executive,it specialist full time,finance assistant,office manager,policy legal advisor,installer/alpinist
sales distribution manager,0.0092125847,php developer,chief party,radio network planning engineer,medical representative,telecommunications engineer,sociologist,project coordinator,training specialist coordinator,lawyer,landmine public awareness specialist
civil/ srtuctural engineer,0.0099078742,head office/ program coordinator,smart software operator,domestic expert/ consultant public sector accounting,project manager,resident twinning advisor rta assistant,head legal service,teller intern,advocacy advisor,associate economics analyst,capex accountant
project manager armenian cuisine revival arts crafts,0.0101975781,news editor,marketing expert fixed business convergent solutions,interviewer armavir statistics department,communication responsible,3d modeling 3d animation content developer,accounting assistant,senior performance engineer,web developer,linux ubuntu administrator,physicist engineer
programmer,0.0105452228,watchman,country manager,national team manager,transmission supervisor,business software consultant,web applications developer egar project,head internal control,monitoring evaluation specialist,local expert/ lawyer un convention against corruption,business analytics specialist
herbal food processing specialist value chain/,0.0105452228,customer service representative,development assistant,secretary,air-conditioning system technician,communication supervisor,procurement specialist,it specialist,head corporate key clients state bodies cooperation group,administrative assistant,radio electronic engineer
teller,0.0109508083,lawyer,project manager,head personnel training division,field coordinator tass test,assistant chief accountant,cardholder relationship management division specialist card,software engineer,chief accountant,national expert technological limitation emissions,credit analyst
kapan branch manager,0.0115302161,apprentice intern web developer,java software developer,senior c++ developer,software engineer/ qa,head personnel training division,website editor,brand operations manager,it specialist,programmer,administrative/ exams assistant
layout internship,0.0117040385,information education communication iec assistant,secretary fsn-5 fp-9*,accountant,interviewers market research 6 positions short term,secretary/ administrative assistant,web designer,teller,senior r d engineer,diesel/ rental sales representative,tourism manager
service engineer/ mechanic,0.0123993279,php developer,telecommunications engineer,sociologist,junior lawyer,software backend developer,project officer/ monitor,back office manager,chief party,marketing communications manager,advanced .net developer
finance controller,0.012631091,accountant assistant/ cashier,social pedagogue shelter crisis intervention program,leed reporting engineer,corporate application engineer,programmer,mechanical engineer,business financial analyst,expert legal aspects community forests management,consultant vocational education youth mild,hr manager
teller,0.0126890318,expert logistics coordinator,qa engineer,fundraiser,intern legal advisory services department,finance manager/accountant,senior qa engineer,researcher financial system policy financial stability,researcher,executive assistant,software development team leader
horeca manager,0.0132684397,doctor ultrasound diagnostics 5-year mobile medical,support consulting specialist,software developer,mobile phones specialist,storekeeper,personnel recruitment retention senior specialist,plastic cards specialist,marketing manager,chief specialist cash operations division,chief accountant/ auditor
supply chain project officer,0.0136160844,layout engineer,country director,back office manager,statistical analyst,managing director car sales center,security officer,sharepoint developer,head client outreach group development department,administrative assistant,systems manager
pr junior specialist pr marketing development department,0.0136160844,statistical analyst,resident twinning advisor rta assistant,marketing communications manager,executive coordinator ceo,telecommunications engineer,global fund atm implementation unit officer,software backend developer,back office manager,head office/ program coordinator,qa intern
securities transactons specialist,0.0136160844,programmer,software engineer,designer,legal officer,welding engineer,product manager,project associate,web designer,risk management specialists,site engineer
shop manager,0.0139637291,kurdish language independent contractor,executive director,social worker,tefl technical coordinator short tirm pre-service,administrative information reporting division head,administrative/ supply assistant,lawyer,office manager,java developer,program manager
gardener/ landscaper,0.0140796106,marketing expert fixed business convergent solutions,manager accounting department,data quality developer,brand manager,news editor,interviewer armavir statistics department,communication responsible,3d modeling 3d animation content developer,accounting assistant,senior performance engineer
ruby rails developer,0.0141375514,retail salesperson/ sales consultant,medical representative,international project coordinator,software architect/ team lead,it specialist,office manager,head retail banking wealth management rbwm,assets liabilities management unit specialist,safety environmental officer,chief accountant
merchandiser,0.0152384263,`` migration development '' project manager,social worker disability resource center spitak,medical advisor,executive director credit organization,furniture designer,armavir branch agro lending specialist,community health education technical coordinator pre-service,qa engineer deep submicron department,head computing facilities operations maintenance division,contractor/ intern
apprentice web developer,0.0155281303,personal assistant ceo,head dealing operations department,executive director,senior .net developer,tax administration specialist/ component 2 team leader,assistant international project administrator human,computer network administrator i information communication,monetary economist,senior accountant/ systems administrator,executive secretary
financial consumer education program assistant,0.0162813604,`` kapan '' branch manager,operator/ cashier,community health education technical coordinator pre-service,executive assistant/ office manager,product manager,legal officer,finance controller,senior technical marketing engineer,public relations director,teaching english foreign language tefl technical
merchandiser/ sales agent,0.0167448867,head reporting unit,head credit monitoring division,secretary/ referent,legal affairs consultant/ senior lawyer,project manager,real estate broker,finance administration manager,senior software engineer design silicon division,power engineer design department,senior accountant
moskovyan branch teller,0.017208413,seller,project officer/ monitor,senior project officer,sales coordinator,environmental education program manager,senior accountant,senior analyst mobile network troubleshooting,marketing specialist responsible pr,expert logistics coordinator,market development manager/ preseller
public relation officer,0.0177878208,showrooms salesman,java developer,branch manager,technical manager,research development engineer,expert restoration forest landscapes,operator/ cashier,engineer martuni,audit assistant,senior android developer
deputy financial controller,0.0177878208,java developer,sales manager/ seller,brand manager,import logistics manager,grant specialist,public funding adviser,specialist customer transactions formalization division,senior android developer,java developer,shirak marz economic development coordinator
salesman,0.0183092879,lawyer,category manager,frontend developer,system/ business analyst,chief accountant,junior analog design engineer,restaurant manager,flash/ as3 developer,sociologist,it specialist
client manager,0.018541051,personal assistant ceo,php developer,head reporting unit,`` migration development '' project manager,finance administration manager,senior software engineer design silicon division,database content management system developer,teller zvartnots branch,social worker disability resource center spitak,secretary
medical representative,0.0187148734,storekeeper,sales/ medical representative,project coordinator `` fostering multi-stakeholder,customs officer/ expediter,c++ software developer,front-end developer,sales supervisor,national consultant/ contractor,senior system administrator,senior php developer
qa engineer,0.0190625181,head corporate key clients state bodies cooperation group,customer service representative,development assistant,qa engineer,procurement specialist,secretary,air-conditioning system technician,communication supervisor,lead software engineer design silicon division,administrative/ executive assistant
senior auditor,0.0192363405,software qa engineer,credit officer,key account manager,engineer martuni,layout design engineer ii/ asic,network administrator,.net developer,head personnel department,trade prosperity officer,qa engineer
systems analyst/ developer,0.0205110377,sales consultant,java software developer,direct sales specialist,programme coordinator,senior business analyst/ team lead,category manager,online trainer,java developer,data base software junior engineer,editor assistant ceo
short-term local consultant penitentiary healthcare armenia lot 2,0.0206269193,project manager,head credit monitoring division,assistant director,statistical programmer,finance administration manager,senior software engineer design silicon division,head personnel training division,personal assistant ceo,project assistant,f b supervisor
grants management intern,0.0210325048,assistant director,information assistant,corporate collections head,tax controller,head personnel training division,c++/c software developer,senior software developer,interpreter/ administrative assistant,english language instructor,kumayri branch manager
team leader,0.0212642679,showrooms salesman,java developer,nss engineer,treasurer,product manager,switching senior engineer,customer care representative,property valuation leading specialist,secretary ceo,hr/ payroll clerk
embedded linux bsp engineer,0.0213801495,chief financial officer,legal advisor,head credit monitoring division,sales manager,production operator,assistant director,administrator/ coordinator,project manager,frontend developer,credit officer
information security manager information technical security,0.021785735,web developer,international sales manager,business development assistant,software developer,contractor/ intern,senior java software developer,customer service officer,senior systems analyst,educational coordinator,it processes internal auditor
project assistant,0.0221913205,systems manager,system architect,senior software engineer,noc technician,transport department operator,hr administration assistant,customer support representative,office manager,assistant national director,java web developer
salesman sales department,0.0228866099,monitoring evaluation officer,data analyst,assitant head center,project advisor,sme credit officer branch kapan,senior web developer,secretary/ assistant director,c senior software developer,recruitment junior assistant,active directory administrator
office manager/ secretary,0.0230024915,customer service representative,development assistant,visual display manager,telecommunications engineer,procurement specialist,secretary,air-conditioning system technician,communication supervisor,project manager,senior credit officer
system administrator,0.0231763138,sociologist/ fieldwork manager,php software developer,senior executive sales marketing manager,replacement driver/ vanadzor project office,chief accountant,associate operations officer/operations officer,regional manager kotayk marz,market research analyst,sampling agent,specialist distance banking
senior php developer,0.0237557217,developer/ administrator customer support application,operations manager,it/ billing engineer,head legal service,java developer,agricultural specialist/ planner,it manager,ui web engineer,financial adviser branch nor hachn,accountant assistant/ cashier
specialist report payment account transactions division,0.0238136624,credit officer,asp.net 2.0 software developer,fpga design verification engineer,senior project officer directorate general democracy,android application developer,hr representative ii,ios developer,sales manager,lawyer,associate operations officer/operations officer
product manager,0.023929544,engineer martuni,qa engineer,operator/ cashier,branch manager,technical manager,java software developer,qa automation engineer,monitoring evaluation specialist,monitoring evaluation trainee,post-harvest processing marketing advisor
assistant general manager,0.0239874848,php developer,java developer,marketing manager,mobile access networks planning optimization engineer,experienced it specialist/ information security officer,java software developer,telecommunications engineer,public relations pr specialist,c++ developer,ux designer
assistant financial director,0.0241613071,accountant assistant/ cashier,legal expert,commercial director,system administrator/ general specialist,associate economics analyst,capex accountant,programmer,operations manager,quality assurance engineer,head dealing operations department
clinical data associate,0.0242192479,project team assistant,head credit monitoring division,community health education technical coordinator pre-service,teaching english foreign language tefl technical,social expert/ project officer,head personnel training division,project manager,interviewer statistics department,medical representative,credit officer /individual business crediting/
3d generalist,0.0242192479,php developer,project coordinator,medical representative,c .net developer,chief financial officer,account manager,community health education technical coordinator pre-service,telecommunications engineer,head analytical department,marketologist/ analyst
head operational support division,0.0250304189,interpreter,device portfolio merchandising coordinator,chief engineer,industrial/ graphic designer,java developer,legal affairs consultant/ senior lawyer,human resources assistant,build editor,project assistant,administrative assistant civic civil educational
office administrator,0.0250883597,personal assistant ceo,chief financial officer,head dealing operations department,tax manager,c++/c software developer,medical advisor,executive director credit organization,furniture designer,armavir branch agro lending specialist,senior accountant/ systems administrator
child family support program manager,0.0253780636,apprentice intern web developer,java software developer,client solutions engineer,software engineer/ qa,secretary/ administrative assistant,website editor,copywriter,economic development specialist,team lead/ senior java software developer,senior c++ developer
medical representative,0.0254939452,credit officer,commercial project manager,system administrator,monitoring evaluation specialist,hr assistant,product marketing manager,it finance coordinator,tester/ quality assurance engineer,specialist it automation division/ technical support unit,finance manager
qa engineer validation department,0.025551886,research development engineer,system architect,audit assistant,senior android developer,.net developer,user interface/ web designer,adp economic development officer,project engineer,unix systems administrator,director
civil society specialist,0.0256098268,it specialist,administrative assistant,radio electronic engineer,software quality assurance engineer,security service specialist financial economic security,branch manager,data coordinator,advisor municipal development,assistant president,marketing manager
financial advisor,0.0257836491,internal auditor,sme banking unit credit specialist,financial reports analysis department senior specialist,c .net developer,public health education information communication manager,marketing unit manager,blackberry android platform expert,purchasing marketing manager,medical representative,head mobile network switching subsystem operation division
senior objective c developer,0.0259574715,wpf developer,specialist financial reporting department,intern/ system administrator,stepanavan transformational development facilitator,chief accountant,java frontend developer,frontend developer,sme credit officer yerevan,procurement department specialist,regional branch manager
project manager,0.0259574715,seller,procurement specialist,customer service representative,development assistant,expert logistics coordinator,head corporate key clients state bodies cooperation group,senior software engineer/ gui architect user interface flows,sales agent,field team leader,driver
c .net senior developer/ architect,0.0261892346,head cards issuance maintenance unit operations general,vocational training expert technical assistance on-the-job,senior specialist regulatory impact assessment ria,php developer,national expert technological limitation emissions,credit analyst,c/ c++ software engineer,software developer,procurement officer,senior asp.net developer
sme credit officer branch kapan,0.0264209977,social expert/ project officer,program manager/ refugees programs,associate operations officer/operations officer,institutional specialist,tchambarak area development program sponsorship coordinator,software engineer,incoming tourism executive,senior project officer directorate general democracy,talent relations specialist office assistant,international msme credit adviser/ team leader armenia
public relations expert,0.026884524,human resources assistant,office assistant,asp.net mvc developer,human resources recruitment manager,securities market expert,program support assistant,designer product development unit,project manager,customer service manager,quality control supervisor
administrative assistant,0.0274059911,hotel manager,customer relations sales manager,category manager,state forest management component coordinator,marketing manager,senior qa engineer validation department,senior graphic designer,project assistant,junior associate euag advisor law enforcement,accountant
senior lawyer,0.0274059911,specialist customer transactions formalization division,.net developer,user interface/ web designer,adp economic development officer,project engineer,sales manager/ seller,chief accountant,java developer,senior legal adviser,marketing expert fixed business convergent solutions
sales senior specialist,0.0275798134,secretary/ administrative assistant,seller,senior accountant,legal officer,key account manager,contractor/ intern,specialist legal department,senior android developer,training development specialist,senior technical marketing engineer
travel agent,0.0284489252,fundraiser,office/ human resources manager,medical representative,rating billing control specialist,sme lending officer,chief accountant,contracts monitoring leading specialist,senior c developer,sqa engineer/ intern,technical architect
technical adviser,0.0286227476,java developer,pre-seller,network administrator,psychologist,programme assistant,promotions manager,planning analysis division specialist,night auditor,civil society program officer,sales promotion banking guarantees division specialist
accountant,0.0288545107,credit officer,country manager,credit officer /individual business crediting/,head computing facilities operations maintenance division,monitoring evaluation specialist,head human resources department,leading specialist internal control risk management,medical representative,head reporting block,`` migration development '' project manager
teller etchmiadzin branch,0.0290862738,qa engineer,system architect,programmer,software engineer/ qa,program coordinator,public relations consultant,sales marketing assistant,market research analyst,english language instructor,financial/ administrative manager
senior it reporting engineer,0.0293759778,chief security officer,software engineer,office manager,medical representative nagorno karabakh,php software developer,training development manager,project coordinator,acquiring chargeback clerk,public relations and communications officer,sales executive
assistant director,0.0301292079,branch manager stepanakert branch,chief specialist,telecom technical installer,hygiene manager,senior r d engineer i,value added services engineer,c++ senior software developer,senior specialist remuneration social programs unit hr,qa technical writer,fiber optic network technician
photographer,0.0302450895,data coordinator,advisor municipal development,assistant president,marketing manager,branch manager,marketing manager,corporate trainer,project assistant,senior customer care manager,senior specialist consumer lending mortgage department
computer operator,0.0305347934,head personnel training division,project manager,layout design engineer ii/ asic,programmer,shop assistant,graphics designer,hydrologist technician,lending officer,senior .net developer,it specialist
specialist internal monitoring department,0.0305347934,seller,technical manager,research development engineer,head mechanics,php developer,java developer,.net developer,senior software engineer/ gui architect user interface flows,showrooms salesman,telecommunications engineer
compliance officer,0.0307086158,pharmacist,marketing manager,mid-level php developer,accountant,wpf developer,sales analyst,head branch network sales promotion division,research development engineer layout design,crm group senior manager development department,external evaluator monitoring child care institutions
receptionist,0.0309403789,mobile access networks planning optimization engineer,system architect,program manager,isp/ it director,procurement manager,medical representative shirak,specialist receivables management department,senior web developer,english teacher kids teenagers,security clerk
translator/ interpreter,0.0309983197,software developer,senior loan officer,real estate agent,it manager,it engineer,.net developer,office manager,transmission expert,native/ near-native english teacher,asp.net developer
senior objective-c developer,0.0315777276,showrooms salesman,medical doctor,customs specialist,construction director,lead software engineer design silicon division,qa engineer,linux ubuntu administrator,interviewer armavir statistics department,communication responsible,3d modeling 3d animation content developer
vb 6.0 developer,0.0318674315,journalist,medical representative,brand manager,tax administration specialist/ component 2 team leader,shop it engineer,fundraising coordinator,chief specialist division bank operations monitoring,senior program manager,project manager,senior programme associate
sales specialist,0.032273017,finance administration manager,senior software engineer design silicon division,f b supervisor,seller,it service desk administrator,personal assistant ceo,medical representative,corporate collections head,senior software engineer,short-term consultant cso organizational development
architectural designer,0.032794484,java developer,database developer,chief accountant,associate operations officer/operations officer,java developer,designer,software qa engineer,business consultant,logistic,senior ios developer
is specialist,0.0332000695,driver,user interface ui technology development specialist,driver/ office assistant,investment specialist,operation maintenance o m tools engineer,programmer,head mis unit,information security administrator network security cba,sales manager,web developer
credit analyst transaction structuring division corporate,0.0332580103,lawyer,training leading specialist,architect,mis consultant aregak micro credit program,projects coordinator,trainer conducting training local sub recipient ngos,developer,iphone application developer,regional sales coordinator,graphic designer
national programme officer ics9/nob,0.0333738919,java developer,short term temporary stt information technology assistant,.net developer,national legal expert `` supporting integrated border,mill crusher conveyer operator,marketing communications manager,medical nurse/ feldsher,technical merchandiser,medical representative,leading credit analyst
office manager,0.0338374182,marketing manager,monitoring evaluation officer,php developer,receptionist/ admin assistant,marketing communications manager,brand manager,1c programmer,software backend developer,dealer,loan specialist
senior java software engineer,0.0339532997,mill crusher conveyer operator,projects director,native english language instructor,senior software engineer,laboratory physician,area retail sales supervisor,team leader/ expert monitoring enpi implementation,national project coordinator,tender specialist,child welfare advocacy officer
c/c++ software developer,0.0341271221,legal officer,head personnel training division,seller,lawyer,software engineer,specialist legal department,program assistant receptionist,medical representative,director restaurant complex,audit intern
executive assistant,0.0342430037,senior specialist financial planning analysis methodology,medical representative,head cards issuance maintenance unit operations general,lawyer,senior .net developer,software developer,qa engineer,driver replacement,php developer,ceo
customer relationship manager,0.0343009444,electrical engineer,asp.net developer,finance administrative assistant,office/ human resources manager,interviewers market research 6 positions short term,deputy director operations,construction business development marketing officer,private banking manager,ict support associate,data processor
finance procurement offier eu funded program,0.0355177009,senior qa engineer,program coordinator,public relations consultant,intern legal advisory services department,specialist assisting public bodies/ policy legal acts,sales coordinator,accountant,iphone application developer,c++ developer,head human resources department
marketing assistant,0.0356335825,head mechanics,language assistant/ translator rta,qa engineer,customer service representative,development assistant,lead software engineer design silicon division,distance customer service specialist,software engineer,network administrator,seller
local governance expert municipal services,0.035749464,driver,assets liabilities management unit specialist,head operational unit kapan branch,hr/ admin intern,national coordinator,loan officer,office manager,medical representative,national professional officer no-b,specialist legal department
marketing sales manager,0.0359812272,senior accountant,senior lawyer court appeals division,senior java software developer,senior loan officer,accountant,native/ near-native english teacher,sales manager,region managers,head commercial department,communication advertising specialist
medical representative yerevan,0.0361550495,java software developer,qa automation engineer,director restaurant complex,operator/ cashier,engineer martuni,head personnel training division,medical representative,systems analyst,english language instructor,qa engineer
social media marketing smm specialist,0.0363868127,credit officer /individual business crediting/,chief/ supervisor programs department,php developer,sales representative,asp.net software developers,interviewer statistics department,post-harvest processing marketing advisor,food technologist,operator/ cashier,f b supervisor
territorial direction customer service sales manager,0.0367344574,safety environmental officer,chief accountant,software developer,senior qa engineer,local consultant private sector mapping database setup,senior software engineer,radio frequency rf engineer,product manager deposit commission services division,junior software testing specialist,medical representative
counter-trafficking programme associate,0.0371979837,teaching english foreign language tefl technical,specialist receivables management department,secretary,air-conditioning system technician,communication supervisor,it specialist,administrative/ executive assistant,senior advisor private sector development,administrative assistant,radio electronic engineer
after sales technician,0.037371806,national coordinator,loan officer,project team assistant,telecom implementation site engineer/ supervisor,head operational unit kapan branch,hr/ admin intern,medical representative,it specialist/ consultant,qa intern/ contractor,layout design engineer ii/ asic
technical manager,0.0385306217,chief accountant,public-private dialogue specialist/ component 3 team leader,engineer designer,store manager,branch intern,intern tax department,quality control supervisor,program support assistant,medical representative nagorno karabakh,web developer
office manager,0.0386465033,cashier,driver,senior banking regulatory specialist,accountant,country manager,webmaster/ information technologies specialist,senior lending officer,senior java developer,analyst,fiber optic technician
senior system administrator,0.0391100295,translator,sqa engineer/ intern,director,medical representative/ key account manager,application manager,credit officer /individual business crediting/,experienced audit consultant,web developer,logistics/ freight forwarding manager,java software developers/ ui specialist
junior lawyer,0.0392259111,qa engineer,assistant director,food technologist,area manager,production operator,lawyer,project manager,head personnel training division,expert logistics coordinator,accountant
journalist,0.0392838519,c .net senior developer/ team leader,chief accountant,teller supervisor,sales representative,logistics department manager,marketing expert fixed business convergent services,specialist corporate banking products methodology,senior software performance engineer,mid-level front end developer,agronomist
expert/facilitator implementation computer based training,0.0393997335,junior legal assistant,chief financial officer,telecom implementation site engineer/ supervisor,product manager,software engineer,community health education technical coordinator pre-service,teaching english foreign language tefl technical,head mechanics,head personnel training division,head analytical department
business analyst health care domain,0.039515615,marketing specialist/ project manager,auditor,assistant,national expert financial management cost accounting,sales consultant,c .net developer/ intern,electrical engineer 's student,promotion manager,engineer,medical translator
accountant/ cashier,0.0399791413,research development engineer,audit assistant,senior android developer,.net developer,user interface/ web designer,adp economic development officer,project engineer,researcher financial system policy financial stability,secretary/ administrative assistant,controller
lawyer,0.0404426676,project manager,lawyer,head credit monitoring division,construction trainer,executive/ administrative assistant,short-term consultant cso organizational development,driver/ logistics assistant,system administrator,legal advisor,revenue assurance senior engineer
methodologist-supervisor financial system stability,0.0410800162,monitoring evaluation specialist,national team manager,transmission supervisor,php developer,medical representative armenia,telecom installer/ engineer,accountant,seller,deputy chief accountant,head financial department
sales director,0.041137957,.net developer,php developer,mill crusher conveyer operator,store manager,java developer,night auditor,senior qa engineer,sociologist,communication assistant,medical nurse/ feldsher
chief party,0.0414856017,assistant management advisory services and public relations,running guide,storekeeper,legal expert,commercial director,system administrator/ general specialist,software developer,mobile phones specialist,programmer,java developer
cashier abovyan,0.0420650096,chief financial officer,junior legal assistant,community health education technical coordinator pre-service,teaching english foreign language tefl technical,head analytical department,regional retail executive,executive director,legal advisor,category manager,frontend developer
airticket sales manager,0.0422388319,sector coordinator,senior software engineer deep submicron department,public relations/ public education assistant,secretary fsn-5 fp-9*,analyst,software developer 3,hr specialist,it specialist/ manager,marketing specialist,technical manager
finance officer,0.0422388319,sales/ medical representative,nss engineer,treasurer,warehouse shift supervisor,community health education technical coordinator pre-service,it specialist/ system administrator,legal expert,rural credit specialist,finance advisor,project advisor
accountant,0.0424126543,personal assistant ceo,interpreter,industrial/ graphic designer,assistant director,senior accountant/ systems administrator,statistical programmer,marketing pr specialist,analyst,senior java developer,director engineering
administrative assistant,0.0433976476,engineer martuni,interviewers market research 6 positions short term,executive assistant,legal expert,interviewer statistics department,java software developer,research development engineer,graphic designer,monitoring evaluation trainee,senior qa engineer
c++ senior software developer unix,0.0435135292,banking services manager vanadzor branch,sales coordinator,customer services clerk/teller,medical representative,language assistant g5,expert logistics coordinator,intern legal advisory services department,production manager,senior qa engineer,english language specialist
java developer,0.0438611739,marketing specialist,software qa engineer,office administrator,internet pr specialist,creative specialist,head liquidity risk analyse management unit,senior java developer,plastic card technical specialist,education programs coordinator assistant,sales manager
legal adviser,0.0442088186,receptionist/ admin assistant,system architect,dealer,warehouse manager,brand manager,1c programmer,graphic designer,user interface/ web/ graphic designer,import logistics manager,grant specialist
marketing specialist,0.0448461672,lawyer,economic development specialist,quality control supervisor,program support assistant,software projects specialist,head personnel training division,assistant chief accountant,pr specialist,pastry chef,php developer
food security specialist,0.0454255751,annual work plan coordinator multisectoral responses,1c programmer,senior php backend engineer,driver,c++ software developer,health safety manager,administrative assistant,financial analyst,finance manager,marketing manager
1c tester analyst,0.0458311606,senior financial analyst,project manager sustainable livelihoods program,procurement administrative manager,guide,database administrator,public relations director,hr specialist,advocacy program assistant,customer support specialist,database administrator
health services capacity building/ emergency care advisor,0.0465843908,business analyst,email marketing assistant,retail marketing manager,asp.net 2.0 software developer,senior software engineer,finance administration manager,head payment account operations group/ chief specialist,administrative logistics assistant,capacity building monitoring external relations officer,head fraud prevention monitoring unit card operations
factory manager,0.0474535025,customer care specialist,lawyer,senior internal auditor,accountant,web designer,english-armenian translator/ technical writer,human resources assistant,field operations manager,medical monitor,chief party
system administrator,0.0476273249,climate control equipment operation engineer,systems manager,senior software architect,marketing assistant,project/ component coordinator,sales specialist,intermediate qa analyst/ functional testing,national project coordinator,tender specialist,child welfare advocacy officer
web design development workshop leader educational,0.0476273249,annual work plan coordinator multisectoral responses,1c programmer,senior php backend engineer,administrative assistant,radio electronic engineer,software quality assurance engineer,security service specialist financial economic security,driver,teaching english foreign language tefl technical,visual display manager
carrier relations manager,0.0476852657,customer service representative,development assistant,procurement specialist,relationship manager large enterprise finance unit,showrooms salesman,visual display manager,import logistics manager,grant specialist,project manager,specialist receivables management department
